Reference;Planet name;Column 3
10227;Izanami;Izanami
1182;Ilona;Ilona
10298;Jiangchuanhuang;Jiangchuanhuang
33902;Ingoldsby;Ingoldsby
32552;Jennithomas;Jennithomas
9778;Isabelallende;Isabelallende
190;Ismene;Ismene
48628;Janetfender;Janetfender
28643;Kellyzhang;Kellyzhang
383;Janina;Janina
13991;Kenphillips;Kenphillips
300909;Kenthompson;Kenthompson
16123;Jessiecheng;Jessiecheng
117387;Javiercerna;Javiercerna
6000;United;Nations
17402;Valeryshuvalov;Valeryshuvalov
26293;Van;Muyden
11269;Knyr;Knyr
33377;Vecernicek;"Ve&#269;ern&#237;&#269;ek"
3036;Krat;Krat
21671;Warrener;Warrener
8996;Waynedwards;Waynedwards
34779;Chungchiyung;Chungchiyung
6149;Pelcak;"Pel&#269;&#225;k"
3911;Otomo;Otomo
55901;Xuaoao;Xuaoao
21464;Chinaroonchai;Chinaroonchai
8249;Gershwin;Gershwin
12746;Yumeginga;Yumeginga
9429;Porec;"Pore&#269;"
445917;Ola;Ola
4627;Pinomogavero;Pinomogavero
347;Pariana;Pariana
3937;Bretagnon;Bretagnon
58679;Brenig;Brenig
9186;Fumikotsukimoto;Fumikotsukimoto
31134;Zurria;Zurria
1494;Savo;Savo
34284;Seancampbell;Seancampbell
25137;Seansolomon;Seansolomon
144633;Georgecarroll;Georgecarroll
201372;Sheldon;Sheldon
30444;Shemp;Shemp
185636;Shiao;Lin
28488;Gautam;Gautam
289085;Andreweil;Andreweil
78430;Andrewpearce;Andrewpearce
31179;Gongju;Gongju
4280;Simonenko;Simonenko
41488;Sindbad;Sindbad
34164;Anikacheerla;Anikacheerla
188446;Louischevrolet;Louischevrolet
22109;Loriehutch;Loriehutch
1379;Lomonosowa;Lomonosowa
5225;Loral;Loral
14103;Manzoni;Manzoni
4789;Sprattia;Sprattia
25175;Lukeandraka;Lukeandraka
79240;Rosanna;Rosanna
9811;Cavadore;Cavadore
6674;Cezanne;"C&#233;zanne"
16714;Arndt;Arndt
55428;Cappellaro;Cappellaro
394;Arduina;Arduina
12539;Chaikin;Chaikin
671;Carnegia;Carnegia
17503;Celestechild;Celestechild
50250;Daveharrington;Daveharrington
101781;Gojira;Gojira
11067;Greenancy;Greenancy
